poll_id,question_id,race,cycle,location,pollster,polldate,electiondate,days_to_election,samplesize,methodology,candidate,party,poll_pct,actual_pct,signed_error,absolute_error,source_url,official_result_url
42239,159407,2012_Pres-G_US,2012,US,YouGov,2012-11-04,2012-11-06,2,740.0,Online Panel,Barack Obama,DEM,49.0,50.90918536886269,-1.909185368862687,1.909185368862687,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
45725,71403,2016_Pres-G_US,2016,US,Ipsos,2016-09-10,2016-11-08,59,1125.0,Online Panel,Hillary Rodham Clinton,DEM,39.3,47.99672181721133,-8.696721817211333,8.696721817211333,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
45740,71423,2016_Pres-G_US,2016,US,YouGov,2016-09-12,2016-11-08,57,1087.0,Online Panel,Hillary Rodham Clinton,DEM,42.0,47.99672181721133,-5.996721817211331,5.996721817211331,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
45904,71729,2016_Pres-G_US,2016,US,Ipsos,2016-09-15,2016-11-08,54,1137.0,Online Panel,Hillary Rodham Clinton,DEM,40.4,47.99672181721133,-7.596721817211332,7.596721817211332,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
45910,71740,2016_Pres-G_US,2016,US,YouGov,2016-09-18,2016-11-08,51,1065.0,Online Panel,Hillary Rodham Clinton,DEM,40.0,47.99672181721133,-7.996721817211331,7.996721817211331,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46006,71909,2016_Pres-G_US,2016,US,Marist,2016-09-17,2016-11-08,52,758.0,Live Phone,Hillary Rodham Clinton,DEM,45.0,47.99672181721133,-2.9967218172113306,2.9967218172113306,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46007,71942,2016_Pres-G_US,2016,US,Ipsos,2016-09-20,2016-11-08,49,1098.0,Online Panel,Hillary Rodham Clinton,DEM,41.0,47.99672181721133,-6.996721817211331,6.996721817211331,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46448,71991,2016_Pres-G_US,2016,US,YouGov,2016-09-23,2016-11-08,46,1115.0,Online Panel,Hillary Rodham Clinton,DEM,44.0,47.99672181721133,-3.9967218172113306,3.9967218172113306,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46308,72408,2016_Pres-G_US,2016,US,Ipsos,2016-09-25,2016-11-08,44,1888.0,Online Panel,Hillary Rodham Clinton,DEM,40.9,47.99672181721133,-7.096721817211332,7.096721817211332,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46453,72639,2016_Pres-G_US,2016,US,Ipsos,2016-09-30,2016-11-08,39,1433.0,Online Panel,Hillary Rodham Clinton,DEM,42.5,47.99672181721133,-5.496721817211331,5.496721817211331,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46438,72575,2016_Pres-G_US,2016,US,YouGov,2016-10-02,2016-11-08,37,911.0,Online Panel,Hillary Rodham Clinton,DEM,43.0,47.99672181721133,-4.996721817211331,4.996721817211331,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46750,73080,2016_Pres-G_US,2016,US,Ipsos,2016-10-05,2016-11-08,34,1103.0,Online Panel,Hillary Rodham Clinton,DEM,43.2,47.99672181721133,-4.796721817211328,4.796721817211328,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46572,72856,2016_Pres-G_US,2016,US,YouGov,2016-10-07,2016-11-08,32,971.0,Online Panel,Hillary Rodham Clinton,DEM,44.0,47.99672181721133,-3.9967218172113306,3.9967218172113306,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
46808,73245,2016_Pres-G_US,2016,US,Ipsos,2016-10-10,2016-11-08,29,2415.0,Online Panel,Hillary Rodham Clinton,DEM,43.9,47.99672181721133,-4.096721817211332,4.096721817211332,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47049,73617,2016_Pres-G_US,2016,US,Ipsos,2016-10-15,2016-11-08,24,1187.0,Online Panel,Hillary Rodham Clinton,DEM,42.5,47.99672181721133,-5.496721817211331,5.496721817211331,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47077,73667,2016_Pres-G_US,2016,US,YouGov,2016-10-17,2016-11-08,22,1032.0,Online Panel,Hillary Rodham Clinton,DEM,42.0,47.99672181721133,-5.996721817211331,5.996721817211331,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47349,74135,2016_Pres-G_US,2016,US,Ipsos,2016-10-20,2016-11-08,19,1153.0,Online Panel,Hillary Rodham Clinton,DEM,44.1,47.99672181721133,-3.896721817211329,3.896721817211329,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47608,74499,2016_Pres-G_US,2016,US,YouGov,2016-10-24,2016-11-08,15,1209.0,Online Panel,Hillary Rodham Clinton,DEM,46.0,47.99672181721133,-1.9967218172113306,1.9967218172113306,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
47643,74599,2016_Pres-G_US,2016,US,Ipsos,2016-10-25,2016-11-08,14,1158.0,Online Panel,Hillary Rodham Clinton,DEM,41.7,47.99672181721133,-6.296721817211328,6.296721817211328,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48114,75376,2016_Pres-G_US,2016,US,Ipsos,2016-10-30,2016-11-08,9,1772.0,Online Panel,Hillary Rodham Clinton,DEM,44.7,47.99672181721133,-3.2967218172113277,3.2967218172113277,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48082,75219,2016_Pres-G_US,2016,US,YouGov,2016-10-31,2016-11-08,8,1233.0,Online Panel,Hillary Rodham Clinton,DEM,46.0,47.99672181721133,-1.9967218172113306,1.9967218172113306,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48362,75818,2016_Pres-G_US,2016,US,Marist,2016-11-02,2016-11-08,6,940.0,Live Phone,Hillary Rodham Clinton,DEM,44.0,47.99672181721133,-3.9967218172113306,3.9967218172113306,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48922,76636,2016_Pres-G_US,2016,US,Ipsos,2016-11-04,2016-11-08,4,2195.0,Online Panel,Hillary Rodham Clinton,DEM,42.0,47.99672181721133,-5.996721817211331,5.996721817211331,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48718,76299,2016_Pres-G_US,2016,US,YouGov,2016-10-20,2016-11-08,19,84292.0,Online Panel,Hillary Rodham Clinton,DEM,42.9,47.99672181721133,-5.096721817211332,5.096721817211332,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48687,76262,2016_Pres-G_US,2016,US,YouGov,2016-11-06,2016-11-08,2,3677.0,Online Panel,Hillary Rodham Clinton,DEM,45.0,47.99672181721133,-2.9967218172113306,2.9967218172113306,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
48720,76301,2016_Pres-G_AK,2016,AK,YouGov,2016-10-20,2016-11-08,19,201.0,Online Panel,Hillary Rodham Clinton,DEM,37.4,36.55087129011199,0.8491287098880065,0.8491287098880065,https://github.com/fivethirtyeight/data/tree/master/pollster-ratings,https://electionlab.mit.edu/data
